category,split,n_users,rmse,accuracy,recall@10,ndcg@10,map@10,recall@20,ndcg@20,map@20,recall@50,ndcg@50,map@50,algorithm
Electronics,test,675,0.6759217484792074,0.8281481481481482,0.14814814814814814,0.07280885914030456,0.049938271604938266,0.24592592592592594,0.09750067489122932,0.05669716899059865,0.6607407407407407,0.17938024096371039,0.06964437811059575,user
Beauty_and_Personal_Care,test,65,1.0416304918435904,0.7230769230769231,1.0,0.49410042039396646,0.3355677655677656,1.0,0.49410042039396646,0.3355677655677656,1.0,0.49410042039396646,0.3355677655677656,user
Sports_and_Outdoors,test,11,0.5454545454545454,0.8181818181818182,1.0,0.7315852753246964,0.6363636363636364,1.0,0.7315852753246964,0.6363636363636364,1.0,0.7315852753246964,0.6363636363636364,user
Electronics,test,675,0.6736450175885801,0.8222222222222222,0.1511111111111111,0.06023934562162288,0.03409171075837743,0.24296296296296296,0.08299011070937434,0.04008707497321188,0.64,0.160423365092177,0.051999657687864576,item
Beauty_and_Personal_Care,test,65,1.0461538461538462,0.7230769230769231,1.0,0.4757106816420502,0.3138095238095238,1.0,0.4757106816420502,0.3138095238095238,1.0,0.4757106816420502,0.3138095238095238,item
Sports_and_Outdoors,test,11,0.5454545454545454,0.8181818181818182,1.0,0.7651371159091093,0.6818181818181818,1.0,0.7651371159091093,0.6818181818181818,1.0,0.7651371159091093,0.6818181818181818,item
Electronics,test,675,0.9097855343642058,0.7748148148148148,0.15851851851851853,0.07048766851774527,0.04440917107583774,0.2859259259259259,0.10219612479953807,0.05284498567212705,0.6592592592592592,0.1760763386742288,0.06462918154123246,content
Beauty_and_Personal_Care,test,65,1.0379014455355131,0.7230769230769231,1.0,0.5308198148069393,0.3884249084249084,1.0,0.5308198148069393,0.3884249084249084,1.0,0.5308198148069393,0.3884249084249084,content
Sports_and_Outdoors,test,11,0.5454545454545454,0.8181818181818182,1.0,0.8322407970779352,0.7727272727272727,1.0,0.8322407970779352,0.7727272727272727,1.0,0.8322407970779352,0.7727272727272727,content
Electronics,test,675,0.8539393474437572,0.8222222222222222,0.19111111111111112,0.09100676710388624,0.060801881246325684,0.30518518518518517,0.11924236858691584,0.06823484127766893,0.6548148148148148,0.1882304615800239,0.07916720619349643,model
Beauty_and_Personal_Care,test,65,1.01024720118596,0.7846153846153846,1.0,0.45593901426377953,0.29102564102564105,1.0,0.45593901426377953,0.29102564102564105,1.0,0.45593901426377953,0.29102564102564105,model
Sports_and_Outdoors,test,11,0.4922732006419789,0.9090909090909091,1.0,0.8322407970779353,0.7727272727272727,1.0,0.8322407970779353,0.7727272727272727,1.0,0.8322407970779353,0.7727272727272727,model
Electronics,test,675,NaN,NaN,0.21441441441441442,0.09775891869425249,0.0632975832975833,0.34054054054054056,0.1290608671274337,0.07160559357153784,0.6126126126126126,0.18266751606100115,0.08007188791205813,trending
Beauty_and_Personal_Care,test,65,NaN,NaN,1.0,0.4723461625865228,0.3082399626517273,1.0,0.4723461625865228,0.3082399626517273,1.0,0.4723461625865228,0.3082399626517273,trending
Sports_and_Outdoors,test,11,NaN,NaN,1.0,0.7523719014285831,0.6666666666666666,1.0,0.7523719014285831,0.6666666666666666,1.0,0.7523719014285831,0.6666666666666666,trending
Electronics,test,675,NaN,NaN,0.08828828828828829,0.04040075701959977,0.026219791219791216,0.2036036036036036,0.06866408160411623,0.03351273247558078,0.5585585585585585,0.1382554540301027,0.04437261654318952,hybrid
Beauty_and_Personal_Care,test,65,NaN,NaN,1.0,0.4741064338493648,0.3080298786181139,1.0,0.4741064338493648,0.3080298786181139,1.0,0.4741064338493648,0.3080298786181139,hybrid
Sports_and_Outdoors,test,11,NaN,NaN,1.0,0.704743802857166,0.6,1.0,0.704743802857166,0.6,1.0,0.704743802857166,0.6,hybrid
