parent_asin,train_count,scenario
B07RJY66SZ,5,warm
B09S9JRLPH,12,warm
B0077KWHK2,146,popular
B081Q4X6HN,174,popular
B08DBVTP3S,7,warm
B08F7QR8R3,3,cold
B07K2PKL7H,72,popular
B07VFKBT2D,6,warm
B093S9YGN1,6,warm
B0855CY5N5,18,warm
B081R3VJYG,314,popular
B0851VT3WF,10,warm
B07S2Y1MNM,33,popular
B001C21F22,12,warm
B087391P8N,4,cold
B01BH83OOM,2326,popular
B07WRQXMZ7,18,warm
B08XM7BLKF,435,popular
B087G614S4,5,warm
B09WL7W4MT,4,cold
B06Y618JND,9,warm
B00VE766PG,36,popular
B019GTCNXC,157,popular
B08MVBB5WN,95,popular
B0006HTZ6W,10,warm
B076L726W5,12,warm
B007IDKWOG,33,popular
B081R4TPP3,20,warm
B01HUDUXH4,6,warm
B07P9QL3P2,94,popular
B0727PCXT8,11,warm
B0C37L2JMQ,12,warm
B0C7JXTM9Z,61,popular
B0B2WV8522,63,popular
B008JRXH92,99,popular
B077SMG6C2,102,popular
B0B3Y7WP1M,3,cold
B06XD221K7,8,warm
B01N7IPGHL,203,popular
B08FR74BGC,15,warm
B09LQLVW2G,4,cold
B07RBFKCTX,86,popular
B072FBN83F,404,popular
B004YZZQ10,68,popular
B0041MY32Y,391,popular
B074C3CQGB,42,popular
B0195A5THO,134,popular
B014EE9PIA,119,popular
B0BYDXXVW5,328,popular
B09ZNFXXLK,9,warm
B075T9ZXK4,63,popular
B093BSMCS1,6,warm
B09LBD7CVM,23,popular
B08S31QBFW,2,cold
B00DOR96KQ,10,warm
B0755PDKCN,124,popular
B08XM241XX,0,new
B0BJZPQJ82,15,warm
B017WO4QW4,4,cold
B0BL3QNSFK,23,popular
B014N53JVO,134,popular
B008I64UX6,123,popular
B07815MJVT,25,popular
B07Y5X29DK,111,popular
B0993QXP43,7,warm
B06XL1GKRV,580,popular
B07XSL2MH2,61,popular
B0B6B8YLN3,13,warm
B00BTFGOHS,6,warm
B00GJY6XI4,120,popular
B09JCPFBWB,0,new
B0BG4P29CV,16,warm
B0BPGJB5TM,4,cold
B07WFQ44T2,9,warm
B09C4N3Z1G,16,warm
B07Y4D9GVB,347,popular
B0C9994Q2R,103,popular
B07H42L4TJ,145,popular
B086PDG99Z,24,popular
B005IA843W,22,popular
B0153R2A9I,323,popular
B0063N7OZ2,380,popular
B08YNPQPR8,166,popular
B07CVDWKJM,24,popular
B09SB43MM7,1,cold
B096NN2WDV,1,cold
B09L69DH1V,23,popular
B0006B088W,223,popular
B075SG1T3X,129,popular
B07WVT6Y7F,37,popular
B0097BEF7M,238,popular
B07H3QK5NY,35,popular
B0BG23MT8R,1,cold
